titolo	anno	numero_prestiti
Anche le formiche nel loro piccolo s'incazzano	2020	3
Anche le formiche nel loro piccolo s'incazzano	2022	4
Anche le formiche nel loro piccolo s'incazzano	2023	3
Anima inerte	2025	3
Anna delle cinque città	2021	1
Anna delle cinque città	2023	5
Anni verdi	2018	12
Anni verdi	2019	16
Anni verdi	2020	26
Anni verdi	2021	15
Anni verdi	2022	24
Anni verdi	2023	16
Anni verdi	2024	14
Anni verdi	2025	29
Antologia apocrifa	2021	8
Antologia apocrifa	2022	6
Antologia apocrifa	2023	5
Antologia apocrifa	2024	9
"Antologia del ""Canzoniere"""	2020	4
"Antologia del ""Canzoniere"""	2021	4
"Antologia del ""Canzoniere"""	2022	11
"Antologia del ""Canzoniere"""	2023	3
"Antologia del ""Canzoniere"""	2024	3
Antologia di Spoon River	2018	1
Antologia di Spoon River	2019	5
Antologia di Spoon River	2020	3
Antologia di Spoon River	2020	3
Antologia di Spoon River	2020	7
Antologia di Spoon River	2021	12
Antologia di Spoon River	2021	6
Antologia di Spoon River	2024	4
Antologia di Spoon River	2025	5
Antologia di Spoon River	2025	5
Appigionasi	2020	12
Appigionasi	2021	9
Appigionasi	2023	12
Appigionasi	2024	3
Appigionasi	2025	6
Aracoeli	2022	1
Aracoeli	2024	1
Arboreto selvatico	2022	4
Argo il cieco ovvero I sogni della memoria	2023	4
Autobiografia	2019	4
Autobiografia	2019	1
Autobiografia	2020	12
Autobiografia	2023	12
Autobiografia	2025	9
Autoritratti e ritratti	2020	4
Autoritratti e ritratti	2024	5
Baol	2018	8
Baol	2019	29
Baol	2020	14
Baol	2021	20
Baol	2022	18
Baol	2023	16
Baol	2025	10
Bar sport duemila	2018	3
Bar sport duemila	2020	8
Bar sport duemila	2023	6
Bar sport duemila	2025	6
Barnabo delle montagne, Il segreto del bosco vecchio	2018	3
Barnabo delle montagne, Il segreto del bosco vecchio	2023	2
Bellezza in codice	2021	3
Beowulf	2018	5
Beowulf	2024	3
Berecche e la guerra	2018	8
Berecche e la guerra	2019	25
Berecche e la guerra	2020	19
Berecche e la guerra	2021	14
Berecche e la guerra	2022	21
Berecche e la guerra	2023	25
Berecche e la guerra	2024	21
Berecche e la guerra	2025	20
Bianca come il latte rossa come il sangue	2020	9
Bianca come il latte rossa come il sangue	2021	4
Bianca come il latte rossa come il sangue	2022	11
Bianca come il latte rossa come il sangue	2023	5
Bianca come il latte rossa come il sangue	2024	8
Blithedale: Il romanzo di Valgioiosa	2024	1
Boccalone: la vera storia piena di bugie	2018	30
Boccalone: la vera storia piena di bugie	2019	9
Boccalone: la vera storia piena di bugie	2020	24
Boccalone: la vera storia piena di bugie	2021	26
Boccalone: la vera storia piena di bugie	2022	24
Boccalone: la vera storia piena di bugie	2023	26
Boccalone: la vera storia piena di bugie	2025	29
Buon viaggio, penna	2020	5
Buon viaggio, penna	2022	3
Bàrnabo delle montagne	2018	16
Bàrnabo delle montagne	2019	27
Bàrnabo delle montagne	2020	28
Bàrnabo delle montagne	2021	26
Bàrnabo delle montagne	2022	25
Bàrnabo delle montagne	2025	30
Bàrnabo delle montagne, Il segreto del bosco vecchio	2018	12
Bàrnabo delle montagne, Il segreto del bosco vecchio	2019	12
Bàrnabo delle montagne, Il segreto del bosco vecchio	2022	25
Bàrnabo delle montagne, Il segreto del bosco vecchio	2023	16
Bàrnabo delle montagne, Il segreto del bosco vecchio	2024	13
Bàrnabo delle montagne, Il segreto del bosco vecchio	2025	11
C'era una volta...	2020	4
C'era una volta...	2023	3
Caino e Abele	2020	10
Caino e Abele	2021	10
Caino e Abele	2022	5
Caino e Abele	2024	7
Caino e Abele	2025	5
Calle del Tempo	2020	10
Calle del Tempo	2021	5
Calle del Tempo	2022	11
Calle del Tempo	2023	7
Camere separate	2019	3
Camere separate	2024	2
Candido	2018	16
Candido	2018	12
Candido	2019	5
Candido	2020	26
Candido	2020	3
Candido	2021	25
Candido	2022	26
Candido	2022	5
Candido	2023	13
Candido	2023	7
Candido	2025	20
Cani randagi	2022	3
Canne al vento	2019	5
Canne al vento	2021	2
Canti	2018	28
Canti	2019	19
Canti	2020	9
Canti	2022	17
Canti	2023	4
Canti	2023	17
Canti	2024	24
Canti di Castelvecchio	2018	6
Canti di Castelvecchio	2020	8
Canti di Castelvecchio	2025	6
Canzoniere, Trionfi e versi latini	2018	8
Canzoniere, Trionfi e versi latini	2020	9
Canzoniere, Trionfi e versi latini	2021	8
Canzoniere, Trionfi e versi latini	2023	3
Canzoniere, Trionfi e versi latini	2024	6
Caracreatura	2018	10
Caracreatura	2019	10
Caracreatura	2022	3
Caracreatura	2023	6
Caracreatura	2025	11
Carmina	2018	5
Carmina	2019	10
Carmina	2021	8
Carmina	2022	7
Carnevale Venezia	2020	4
Carnevale Venezia	2025	2
Caro Michele	2021	5
Caro Michele	2025	3
Cartoline dalla terra di nessuno	2018	16
Cartoline dalla terra di nessuno	2019	28
Cartoline dalla terra di nessuno	2020	24
Cartoline dalla terra di nessuno	2021	19
Cartoline dalla terra di nessuno	2022	11
Cartoline dalla terra di nessuno	2023	9
Cartoline dalla terra di nessuno	2024	28
Cartoline dalla terra di nessuno	2025	11
cenere	2022	1
cenere	2023	3
Centomila gavette di ghiaccio	2020	5
Centomila gavette di ghiaccio	2021	3
Ciau Masino	2018	11
Ciau Masino	2020	11
Ciau Masino	2023	5
Ciau Masino	2024	4
Ciau Masino	2025	3
Cieli Bambini	2022	5
Cieli Bambini	2023	2
Cinque storie ferraresi	2020	4
Cinque storie ferraresi	2023	3
Cioè	2018	20
Cioè	2019	23
Cioè	2020	8
Cioè	2021	20
Cioè	2023	29
Cioè	2024	21
Cioè	2025	13
Città di mare con abitanti	2018	7
Città di mare con abitanti	2020	10
Città di mare con abitanti	2022	6
Città di mare con abitanti	2024	12
Clandestino	2018	10
Clandestino	2020	6
Clandestino	2021	8
Clandestino	2025	10
Collezione di sabbia	2018	25
Collezione di sabbia	2018	23
Collezione di sabbia	2019	21
Collezione di sabbia	2019	22
Collezione di sabbia	2020	29
Collezione di sabbia	2020	18
Collezione di sabbia	2021	19
Collezione di sabbia	2022	10
Collezione di sabbia	2022	13
Collezione di sabbia	2023	24
Collezione di sabbia	2024	28
Collezione di sabbia	2024	9
Collezione di sabbia	2025	18
Collezione di sabbia	2025	16
Colombi e Sparvieri	2020	1
Colombi e Sparvieri	2024	1
Com'era verde la mia vallata	2018	5
Comici spaventati guerrieri	2019	6
Comici spaventati guerrieri	2021	5
Comici spaventati guerrieri	2024	11
Confessioni di una minorata	2021	11
Confessioni di una minorata	2022	6
Confessioni di una minorata	2023	6
Confessioni di una minorata	2024	12
Confessioni di una minorata	2025	4
Conservatorio di Santa Teresa	2018	5
Conservatorio di Santa Teresa	2023	3
Conversazione in Sicilia	2018	24
Conversazione in Sicilia	2019	16
Conversazione in Sicilia	2020	22
Conversazione in Sicilia	2021	24
Conversazione in Sicilia	2022	10
Conversazione in Sicilia	2023	24
Conversazione in Sicilia	2024	27
Conversazione in Sicilia	2025	10
Convivio	2018	4
Convivio	2019	3
Convivio	2021	3
Convivio	2024	5
Convivio	2025	4
Cose che nessuno sa	2018	11
Cose che nessuno sa	2019	27
Cose che nessuno sa	2020	9
Cose che nessuno sa	2021	22
Cose che nessuno sa	2022	27
Cose che nessuno sa	2023	29
Cose che nessuno sa	2024	30
Cose che nessuno sa	2025	9
Cose sagge e meravigliose	2024	3
Cose viste	2018	11
Cose viste	2020	10
Cose viste	2021	8
Cose viste	2023	12
Cose viste	2024	11
Cosima	2018	19
Cosima	2019	19
Cosima	2019	11
Cosima	2020	22
Cosima	2020	6
Cosima	2021	10
Cosima	2022	26
Cosima	2022	4
Cosima	2023	12
Cosima	2023	6
Cosima	2024	24
Cosima	2024	5
Così è la vita	2018	24
Così è la vita	2019	16
Così è la vita	2020	10
Così è la vita	2021	21
Così è la vita	2022	10
Così è la vita	2023	21
Così è la vita	2024	27
Così è la vita	2025	13
Cristo si è fermato a Eboli	2019	8
Cristo si è fermato a Eboli	2021	27
Cristo si è fermato a Eboli	2022	14
Cristo si è fermato a Eboli	2023	22
Cristo si è fermato a Eboli	2024	26
Cristo si è fermato a Eboli	2025	21
Cronaca familiare	2019	8
Cronaca familiare	2021	8
Cronaca familiare	2022	6
Cronaca familiare	2025	12
Cronache della galassia	2018	10
Cronache della galassia	2019	10
Cronache della galassia	2021	4
Cronache della galassia	2022	6
Cronache della galassia	2023	6
Cronache di poveri amanti	2018	30
Cronache di poveri amanti	2019	8
Cronache di poveri amanti	2021	8
Cronache di poveri amanti	2022	29
Cronache di poveri amanti	2023	14
Cronache di poveri amanti	2025	20
Cronache terrestri	2020	1
Cuore di tenebra	2019	12
Cuore di tenebra	2021	11
Cuore di tenebra	2022	8
Cuore puro	2018	3
Cuore puro	2019	6
Cuore puro	2020	10
Cuore puro	2022	4
Cuore puro	2024	10
D'eroina sei morto figlio	2018	15
D'eroina sei morto figlio	2019	11
D'eroina sei morto figlio	2020	9
D'eroina sei morto figlio	2021	18
D'eroina sei morto figlio	2022	26
D'eroina sei morto figlio	2023	12
D'eroina sei morto figlio	2024	22
D'eroina sei morto figlio	2025	16
Da Michele Crismani-Italia A Fotis Paskos-Grecia	2018	5
Da Michele Crismani-Italia A Fotis Paskos-Grecia	2022	4
Dal naso al cielo	2018	3
Dal naso al cielo	2019	11
Dal naso al cielo	2020	3
Dal naso al cielo	2024	5
Dal naso al cielo	2025	4
Daniele Cortis	2018	2
Daniele Cortis	2023	5
Davide Copperfield	2018	8
Davide Copperfield	2018	20
Davide Copperfield	2019	24
Davide Copperfield	2019	11
Davide Copperfield	2020	18
Davide Copperfield	2020	9
Davide Copperfield	2021	20
Davide Copperfield	2021	14
Davide Copperfield	2022	15
Davide Copperfield	2023	16
Davide Copperfield	2023	27
Davide Copperfield	2024	10
Davide Copperfield	2024	26
Davide Copperfield	2025	11
Davide Copperfield I	2018	7
Davide Copperfield I	2021	4
Davide Copperfield I	2022	5
Davide Copperfield I	2023	3
Decameron	2018	11
Decameron	2019	4
Decameron	2020	10
Decameron	2020	2
Decameron	2021	9
Decameron	2021	3
Decameron	2023	3
Decameron	2025	6
Dedalus	2019	26
Dedalus	2020	23
Dedalus	2021	22
Dedalus	2022	22
Dedalus	2023	26
Dedalus	2024	9
Dedalus	2025	10
Dentro le mura	2018	6
Dentro le mura	2018	5
Dentro le mura	2019	8
Dentro le mura	2020	5
Dentro le mura	2022	7
Dentro le mura	2025	3
Desinenze	2018	8
Desinenze	2019	20
Desinenze	2020	23
Desinenze	2021	12
Desinenze	2022	22
Desinenze	2023	18
Destinazione mistero	2019	5
Deviazione	2018	17
Deviazione	2019	27
Deviazione	2020	17
Deviazione	2021	19
Deviazione	2022	11
Deviazione	2023	26
Deviazione	2024	24
Deviazione	2025	14
Dialoghi	2018	12
Dialoghi	2019	14
Dialoghi	2021	27
Dialoghi	2022	22
Dialoghi	2023	13
Dialoghi	2024	20
Dialoghi	2025	19
Dialoghi con Leucò	2018	19
Dialoghi con Leucò	2018	25
Dialoghi con Leucò	2019	9
Dialoghi con Leucò	2019	25
Dialoghi con Leucò	2020	30
Dialoghi con Leucò	2021	24
Dialoghi con Leucò	2021	23
Dialoghi con Leucò	2022	21
Dialoghi con Leucò	2022	16
Dialoghi con Leucò	2023	15
Dialoghi con Leucò	2023	17
Dialoghi con Leucò	2024	23
Dialoghi con Leucò	2024	26
Dialoghi con Leucò	2025	20
Dialoghi con Leucò	2025	19
Diana e la tuda sagra del signore della nave	2018	11
Diana e la tuda sagra del signore della nave	2020	3
Diana e la tuda sagra del signore della nave	2021	11
Diana e la tuda sagra del signore della nave	2022	8
Diana e la tuda sagra del signore della nave	2023	9
Diario 1900-1941	2018	4
Diario 1900-1941	2020	6
Diario 1900-1941	2023	11
Diario 1900-1941	2025	4
Diario del '71 e del '72	2019	4
Diario del '71 e del '72	2023	5
Diario Partigiano	2018	6
Diario Partigiano	2019	8
Diario Partigiano	2020	9
Diario Partigiano	2024	11
Diario Partigiano	2025	3
Diario sentimentale	2018	4
Diario sentimentale	2023	1
Diario siciliano	2018	28
Diario siciliano	2019	17
Diario siciliano	2020	8
Diario siciliano	2022	15
Diario siciliano	2023	18
Diario siciliano	2024	18
Diario siciliano	2025	15
Dimenticatoio	2018	25
Dimenticatoio	2019	9
Dimenticatoio	2020	24
Dimenticatoio	2021	11
Dimenticatoio	2022	13
Dimenticatoio	2023	28
Dimenticatoio	2024	11
Dimenticatoio	2025	14
Discorsi dell'arte poetica e del poema eroico	2022	2
Divina Commedia	2018	1
Divina Commedia	2025	1
Divina Commedia Paradiso	2018	5
Donna de paradiso	2018	2
Donna de paradiso	2022	2
DONO lettera alla sconosciuta che ha salvato mio figlio	2022	1
Doody, Margaret	2018	18
Doody, Margaret	2019	14
Doody, Margaret	2020	22
Doody, Margaret	2021	27
Doody, Margaret	2022	18
Doody, Margaret	2023	8
Doody, Margaret	2024	30
Dove tornare	2019	9
Dove tornare	2020	11
Dove tornare	2023	12
Dove tornare	2024	8
Dove tornare	2025	3
Due di due	2018	10
Due di due	2021	11
Due di due	2022	7
Due di due	2025	12
E le stelle stanno a guardare	2018	2
E le stelle stanno a guardare	2018	8
E le stelle stanno a guardare	2019	4
E le stelle stanno a guardare	2021	5
E le stelle stanno a guardare	2023	5
E le stelle stanno a guardare	2023	3
E le stelle stanno a guardare	2024	10
E sarà bello morire insieme	2018	14
E sarà bello morire insieme	2019	12
E sarà bello morire insieme	2020	12
E sarà bello morire insieme	2021	23
E sarà bello morire insieme	2022	8
E sarà bello morire insieme	2023	13
E sarà bello morire insieme	2024	21
E sarà bello morire insieme	2025	23
E' fatto giorno	2020	6
E' fatto giorno	2023	10
E' fatto giorno	2025	8
E' il nostro turno	2019	3
Elias Portolu	2019	6
Elias Portolu	2020	5
Elias Portolu	2022	10
Elias Portolu	2024	11
Elias Portolu	2025	10
Elogio alla bruttezza	2018	29
Elogio alla bruttezza	2019	25
Elogio alla bruttezza	2020	21
Elogio alla bruttezza	2022	25
Elogio alla bruttezza	2023	20
Elogio alla bruttezza	2024	15
Elogio alla bruttezza	2025	15
Emma	2018	22
Emma	2019	23
Emma	2020	11
Emma	2021	12
Emma	2022	11
Emma	2023	2
Emma	2024	19
Emma	2025	10
Era tutto un'altra cosa	2019	3
Era tutto un'altra cosa	2022	5
Era tutto un'altra cosa	2023	12
Era tutto un'altra cosa	2025	10
Erica e i suoi fratelli; La garibaldina	2019	5
Erica e i suoi fratelli; La garibaldina	2022	3
Esperienze e racconti	2018	3
Esperienze e racconti	2020	3
Ettore Fieramosca	2019	4
Ettore Fieramosca	2022	1
Fabio il 'Centurione'	2018	10
Fabio il 'Centurione'	2020	15
Fabio il 'Centurione'	2021	21
Fabio il 'Centurione'	2022	23
Fabio il 'Centurione'	2023	25
Fabio il 'Centurione'	2024	15
Fabio il 'Centurione'	2025	30
Facce di Bronzital	2018	9
Facce di Bronzital	2021	11
Facce di Bronzital	2022	7
Facce di Bronzital	2024	8
Facce di Bronzital	2025	10
Fahreneit 451	2018	29
Fahreneit 451	2019	11
Fahreneit 451	2021	21
Fahreneit 451	2022	25
Fahreneit 451	2023	8
Fahreneit 451	2024	8
Fahreneit 451	2025	20
Fahrenheit 451	2023	12
Fahrenheit 451	2024	7
Fahrenheit 451	2025	8
Fai girare la testa	2018	6
Fai girare la testa	2022	12
Fai girare la testa	2023	11
Fai girare la testa	2024	12
Fai girare la testa	2025	3
Fausto e Anna	2022	3
Feria d'agosto	2018	29
Feria d'agosto	2019	15
Feria d'agosto	2019	19
Feria d'agosto	2020	27
Feria d'agosto	2020	19
Feria d'agosto	2021	29
Feria d'agosto	2021	23
Feria d'agosto	2022	13
Feria d'agosto	2022	23
Feria d'agosto	2023	24
Feria d'agosto	2023	27
Feria d'agosto	2024	12
Feria d'agosto	2024	8
Feria d'agosto	2025	22
Feria d'agosto	2025	24
Fermento di Luglio	2020	11
Fermento di Luglio	2021	12
Fermento di Luglio	2022	28
Fermento di Luglio	2023	19
Fermento di Luglio	2024	18
Fermento di Luglio	2025	12
Festa mobile	2018	10
Festa mobile	2024	6
Festa mobile	2025	3
Fiabe friulane e della Venezia Giulia	2023	3
Fiabe friulane e della Venezia Giulia	2025	2
Fiabe italiane	2018	27
Fiabe italiane	2019	24
Fiabe italiane	2021	12
Fiabe italiane	2022	10
Fiabe italiane	2023	16
Fiabe italiane	2024	21
Fiabe italiane	2025	18
Fiabe italiane vol.2	2018	28
Fiabe italiane vol.2	2019	22
Fiabe italiane vol.2	2020	16
Fiabe italiane vol.2	2021	13
Fiabe italiane vol.2	2022	26
Fiabe italiane vol.2	2025	21
Fiabe italiane vol1	2018	22
Fiabe italiane vol1	2019	30
Fiabe italiane vol1	2020	23
Fiabe italiane vol1	2021	11
Fiabe italiane vol1	2022	8
Fiabe italiane vol1	2023	28
Fiabe italiane vol1	2024	27
Fiabe italiane vol1	2025	15
Fiabe italiane vol2	2018	11
Fiabe italiane vol2	2019	28
Fiabe italiane vol2	2021	12
Fiabe italiane vol2	2022	23
Fiabe italiane vol2	2023	30
Fiabe italiane vol2	2024	17
Fiabe italiane vol2	2025	24
Fiesta	2023	2
Filippo e Marlowe indagano	2020	4
Filippo e Marlowe indagano	2021	8
Filippo e Marlowe indagano	2025	12
Finché le stelle saranno in cielo	2019	8
Finché le stelle saranno in cielo	2020	9
Finché le stelle saranno in cielo	2021	10
Finché le stelle saranno in cielo	2022	12
Finché le stelle saranno in cielo	2024	10
Follia profonda	2018	23
Follia profonda	2019	26
Follia profonda	2020	17
Follia profonda	2021	26
Follia profonda	2022	22
Follia profonda	2024	18
Follia profonda	2025	20
Fontamara	2020	9
Fontamara	2020	3
Fontamara	2021	5
Fontamara	2021	5
Fontamara	2025	5
Fosca	2025	5
Fratelli	2021	2
Fratelli	2025	2
Fratelli d'Italia	2018	24
Fratelli d'Italia	2019	23
Fratelli d'Italia	2020	28
Fratelli d'Italia	2021	15
Fratelli d'Italia	2022	16
Fratelli d'Italia	2023	22
Fratelli d'Italia	2024	10
Fratelli d'Italia	2025	30
Fuga da Manhattan	2018	9
Fuga da Manhattan	2019	6
Fuga da Manhattan	2020	9
Fuga da Manhattan	2021	4
Fuga da Manhattan	2024	11
Generazione	2018	12
Generazione	2019	6
Generazione	2021	10
Generazione	2023	9
Generazione	2024	4
Gente di Dublino	2019	7
Gente di Dublino	2021	11
Gente di Dublino	2024	7
Gente di rispetto	2020	2
Gente di rispetto	2024	4
Gente in viaggio	2018	10
Gente in viaggio	2021	9
Gente in viaggio	2023	11
Gerusalemme liberata	2019	28
Gerusalemme liberata	2021	25
Gerusalemme liberata	2022	14
Gerusalemme liberata	2023	10
Gerusalemme liberata	2024	17
Gerusalemme liberata	2025	22
Getsemani	2019	1
Getsemani	2023	5
Giovanni Episcopo	2019	8
Giovanni Episcopo	2021	10
Giovanni Episcopo	2023	9
Giovanni Episcopo	2024	9
Giovanni Episcopo	2025	4
Giovinezza Giovinezza	2018	5
Giovinezza Giovinezza	2019	10
Giovinezza Giovinezza	2020	6
Giovinezza Giovinezza	2024	8
Giovinezza Giovinezza	2025	11
Gisella	2018	6
Gisella	2019	3
Gisella	2021	4
Gisella	2022	9
Gisella	2024	8
Giustino Roncella nato Boggiolo	2018	10
Giustino Roncella nato Boggiolo	2019	15
Giustino Roncella nato Boggiolo	2021	13
Giustino Roncella nato Boggiolo	2022	23
Giustino Roncella nato Boggiolo	2023	10
Giustino Roncella nato Boggiolo	2024	29
Gli adolescenti raccontano	2018	4
Gli adolescenti raccontano	2019	11
Gli adolescenti raccontano	2020	10
Gli adolescenti raccontano	2021	4
Gli adolescenti raccontano	2024	11
Gli amori difficili	2023	2
Gli amori difficili	2024	5
Gli anni al contrario	2019	11
Gli anni al contrario	2019	12
Gli anni al contrario	2020	8
Gli anni al contrario	2020	3
Gli anni al contrario	2022	3
Gli anni al contrario	2022	8
Gli anni al contrario	2023	11
Gli anni al contrario	2024	4
Gli anni al contrario	2024	3
Gli artigli del paradiso	2018	30
Gli artigli del paradiso	2019	22
Gli artigli del paradiso	2020	12
Gli artigli del paradiso	2021	30
Gli artigli del paradiso	2022	24
Gli artigli del paradiso	2023	24
Gli artigli del paradiso	2024	11
Gli artigli del paradiso	2025	30
Gli avventurosi siciliani	2018	10
Gli avventurosi siciliani	2019	12
Gli avventurosi siciliani	2022	3
Gli avventurosi siciliani	2023	11
Gli avventurosi siciliani	2025	3
Gli dèi torneranno	2021	1
Gli dèi torneranno	2023	5
Gli indifferenti	2018	27
Gli indifferenti	2018	29
Gli indifferenti	2019	20
Gli indifferenti	2019	15
Gli indifferenti	2021	19
Gli indifferenti	2022	27
Gli indifferenti	2022	23
Gli indifferenti	2023	8
Gli indifferenti	2023	19
Gli indifferenti	2024	29
Gli indifferenti	2024	29
Gli indifferenti	2025	29
Gli occhiali d'oro	2019	11
Gli occhiali d'oro	2023	4
Gli occhiali d'oro	2024	5
Gli occhiali d'oro	2025	3
Gli orizzonti dell'amicizia	2020	5
Gli orizzonti dell'amicizia	2021	9
Gli orizzonti dell'amicizia	2024	9
Gli orizzonti dell'amicizia	2025	5
Gli zii di Sicilia	2018	8
Gli zii di Sicilia	2018	12
Gli zii di Sicilia	2019	10
Gli zii di Sicilia	2019	18
Gli zii di Sicilia	2020	20
Gli zii di Sicilia	2021	12
Gli zii di Sicilia	2021	29
Gli zii di Sicilia	2022	11
Gli zii di Sicilia	2022	12
Gli zii di Sicilia	2023	10
Gli zii di Sicilia	2024	4
Gli zii di Sicilia	2024	20
Gli zii di Sicilia	2025	24
Gomorra	2018	12
Gomorra	2023	8
Gomorra	2024	10
Gran Canaria	2020	4
Gran Canaria	2022	1
Grandi peccatori grandi cattedrali	2018	27
Grandi peccatori grandi cattedrali	2019	10
Grandi peccatori grandi cattedrali	2020	24
Grandi peccatori grandi cattedrali	2021	8
Grandi peccatori grandi cattedrali	2024	19
Grandi peccatori grandi cattedrali	2025	18
Grandi Romanzi	2018	15
Grandi Romanzi	2019	12
Grandi Romanzi	2021	26
Grandi Romanzi	2022	14
Grandi Romanzi	2023	10
Grandi Romanzi	2024	25
Grandi Romanzi	2025	14
Heike riprende a respirare	2020	3
Heike riprende a respirare	2022	7
Heike riprende a respirare	2023	6
Heike riprende a respirare	2024	7
Hoot	2018	11
Hoot	2019	3
Hoot	2023	7
Hoot	2024	9
Horcynus orca	2018	10
Horcynus orca	2019	20
Horcynus orca	2020	20
Horcynus orca	2021	20
Horcynus orca	2022	25
Horcynus orca	2023	23
Horcynus orca	2025	9
I capolavori di Francis Scott Fitzgerald	2020	28
I capolavori di Francis Scott Fitzgerald	2021	8
I capolavori di Francis Scott Fitzgerald	2022	23
I capolavori di Francis Scott Fitzgerald	2023	28
I capolavori di Francis Scott Fitzgerald	2024	24
I capolavori di Francis Scott Fitzgerald	2025	12
I capolavori di W. Faulkner	2019	11
I capolavori di W. Faulkner	2020	4
I capolavori di W. Faulkner	2022	7
I capolavori di W. Faulkner	2023	6
I crepuscolari	2018	26
I crepuscolari	2019	20
I crepuscolari	2020	10
I crepuscolari	2021	8
I crepuscolari	2022	21
I crepuscolari	2023	28
I crepuscolari	2024	16
I crepuscolari	2025	21
I dialoghi di Bellavista	2019	10
I dialoghi di Bellavista	2020	6
I dialoghi di Bellavista	2021	8
I dialoghi di Bellavista	2022	12
I fratelli Cuccoli	2023	2
I fratelli Cuccoli	2025	1
I galletti del bottaio	2018	10
I galletti del bottaio	2019	29
I galletti del bottaio	2020	25
I galletti del bottaio	2021	20
I galletti del bottaio	2022	14
I galletti del bottaio	2024	24
I giochi di Norma	2018	20
I giochi di Norma	2019	29
I giochi di Norma	2020	27
I giochi di Norma	2021	27
I giochi di Norma	2022	18
I giochi di Norma	2023	24
I giochi di Norma	2024	20
